word0,word1,word2,word3,word4,word5,word6
beverage,milk,sour milk,,,,
beverage,milk,pasteurized milk,,,,
beverage,milk,cows' milk,,,,
beverage,milk,yak's milk,,,,
beverage,milk,goats' milk,,,,
beverage,milk,acidophilus milk,,,,
beverage,milk,raw milk,,,,
beverage,milk,scalded milk,,,,
beverage,milk,homogenized milk,,,,
beverage,milk,certified milk,,,,
beverage,milk,powdered milk,nonfat dry milk,,,
beverage,milk,evaporated milk,,,,
beverage,milk,condensed milk,,,,
beverage,milk,skim milk,,,,
beverage,milk,semi-skimmed milk,,,,
beverage,milk,whole milk,,,,
beverage,milk,low-fat milk,,,,
beverage,milk,buttermilk,,,,
beverage,milk,chocolate milk,,,,
beverage,wish-wash,,,,,
beverage,potion,elixir,elixir of life,,,
beverage,potion,philter,,,,
beverage,alcohol,proof spirit,,,,
beverage,alcohol,home brew,,,,
beverage,alcohol,hooch,pruno,,,
beverage,alcohol,kava,,,,
beverage,alcohol,aperitif,,,,
beverage,alcohol,brew,beer,draft beer,,
beverage,alcohol,brew,beer,suds,,
beverage,alcohol,brew,beer,lager,Munich beer,
beverage,alcohol,brew,beer,lager,bock,
beverage,alcohol,brew,beer,lager,light beer,
beverage,alcohol,brew,beer,lager,Oktoberfest,
beverage,alcohol,brew,beer,lager,Pilsner,
beverage,alcohol,brew,beer,lager,malt,
beverage,alcohol,brew,beer,ale,Weissbier,Weizenbier
beverage,alcohol,brew,beer,ale,Weissbier,Weizenbock
beverage,alcohol,brew,beer,ale,bitter,
beverage,alcohol,brew,beer,ale,Burton,
beverage,alcohol,brew,beer,ale,pale ale,
beverage,alcohol,brew,beer,ale,porter,
beverage,alcohol,brew,beer,ale,stout,Guinness
beverage,alcohol,brew,kvass,,,
beverage,alcohol,brew,mead,metheglin,,
beverage,alcohol,brew,cassiri,,,
beverage,alcohol,brew,spruce beer,,,
beverage,alcohol,sake,,,,
beverage,alcohol,nipa,,,,
beverage,alcohol,wine,vintage,,,
beverage,alcohol,wine,red wine,Beaujolais,,
beverage,alcohol,wine,red wine,Medoc,,
beverage,alcohol,wine,red wine,Pinot noir,,
beverage,alcohol,wine,red wine,claret,Saint Emilion,
beverage,alcohol,wine,red wine,Chianti,,
beverage,alcohol,wine,red wine,Cabernet,,
