word0,word1,word2,word3,word4,word5,word6,word7,word8
molecule,dipole molecule,,,,,,,
molecule,protein molecule,,,,,,,
molecule,coenzyme,cocarboxylase,,,,,,
molecule,coenzyme,coenzyme A,,,,,,
molecule,coenzyme,nicotinamide adenine dinucleotide,,,,,,
molecule,coenzyme,nicotinamide adenine dinucleotide phosphate,,,,,,
molecule,coenzyme,triphosphopyridine nucleotide,,,,,,
molecule,coenzyme,ubiquinone,,,,,,
molecule,ethylenediaminetetraacetic acid,,,,,,,
molecule,macromolecule,protein,capsid,,,,,
molecule,macromolecule,protein,gluten,corn gluten,,,,
molecule,macromolecule,protein,gluten,wheat gluten,,,,
molecule,macromolecule,protein,recombinant protein,,,,,
molecule,macromolecule,protein,actomyosin,,,,,
molecule,macromolecule,protein,aleurone,,,,,
molecule,macromolecule,protein,amyloid,,,,,
molecule,macromolecule,protein,apoenzyme,,,,,
molecule,macromolecule,protein,conjugated protein,glycoprotein,mucin,,,
molecule,macromolecule,protein,conjugated protein,glycoprotein,erythropoietin,,,
molecule,macromolecule,protein,conjugated protein,glycoprotein,cluster of differentiation 4,,,
molecule,macromolecule,protein,conjugated protein,glycoprotein,cluster of differentiation 8,,,
molecule,macromolecule,protein,conjugated protein,glycoprotein,lectin,,,
molecule,macromolecule,protein,conjugated protein,glycoprotein,mucoid,,,
molecule,macromolecule,protein,conjugated protein,hemoprotein,hemoglobin,oxyhemoglobin,,
molecule,macromolecule,protein,conjugated protein,hemoprotein,myoglobin,,,
molecule,macromolecule,protein,conjugated protein,hemoprotein,cytochrome,cytochrome c,,
molecule,macromolecule,protein,conjugated protein,lipoprotein,high-density lipoprotein,,,
molecule,macromolecule,protein,conjugated protein,lipoprotein,low-density lipoprotein,,,
molecule,macromolecule,protein,conjugated protein,lipoprotein,very low density lipoprotein,,,
molecule,macromolecule,protein,enzyme,adenosine deaminase,,,,
molecule,macromolecule,protein,enzyme,amylase,ptyalin,,,
molecule,macromolecule,protein,enzyme,cholinesterase,,,,
molecule,macromolecule,protein,enzyme,coagulase,thrombin,,,
molecule,macromolecule,protein,enzyme,coagulase,rennin,,,
molecule,macromolecule,protein,enzyme,collagenase,,,,
molecule,macromolecule,protein,enzyme,complement,,,,
molecule,macromolecule,protein,enzyme,catalase,,,,
molecule,macromolecule,protein,enzyme,cyclooxygenase,cyclooxygenase-1,,,
molecule,macromolecule,protein,enzyme,cyclooxygenase,cyclooxygenase-2,,,
molecule,macromolecule,protein,enzyme,decarboxylase,,,,
molecule,macromolecule,protein,enzyme,de-iodinase,,,,
molecule,macromolecule,protein,enzyme,disaccharidase,invertase,,,
molecule,macromolecule,protein,enzyme,disaccharidase,lactase,,,
molecule,macromolecule,protein,enzyme,elastase,,,,
molecule,macromolecule,protein,enzyme,enterokinase,,,,
molecule,macromolecule,protein,enzyme,histaminase,,,,
molecule,macromolecule,protein,enzyme,hyaluronidase,,,,
molecule,macromolecule,protein,enzyme,isomerase,,,,
molecule,macromolecule,protein,enzyme,kinase,,,,
molecule,macromolecule,protein,enzyme,lipase,,,,
molecule,macromolecule,protein,enzyme,lysozyme,,,,
molecule,macromolecule,protein,enzyme,monoamine oxidase,,,,
